Experience,Qualifications,Salary Range,location,Work Type,Job Title,Role,Job Description,skills,Responsibilities,Company,Salary_Numeric
1 to 9 Years,BCA,$60K-$127K,"Casablanca, Morocco",Full-Time,Systems Administrator,Database Administrator,"Database Administrators manage databases, ensuring data integrity, security, and efficient performance. They design, implement, and maintain databases while troubleshooting issues.","Database management systems (e.g., MySQL, Oracle, SQL Server) Data security Database tuning and optimization Backup and recovery","Administer and optimize databases, ensuring data availability and performance. Backup and restore databases. Implement database security and access controls.",Petronet LNG,135821
0 to 9 Years,BA,$57K-$117K,"Casablanca, Morocco",Intern,Database Administrator,Database Analyst,"A Database Analyst examines and interprets data stored in databases. They generate reports, identify trends, and provide insights to support business decision-making.",Data analysis Database querying and reporting Data visualization SQL proficiency Data quality assurance,"Analyze and interpret database performance data, identifying areas for improvement. Troubleshoot database issues and optimize query performance. Generate reports and insights from database data.",Sanmina,133067
4 to 14 Years,MBA,$58K-$91K,"Rabat, Morocco",Intern,Database Administrator,Database Developer,"A Database Developer designs, develops, and maintains databases. They create efficient data structures, write queries, and ensure data security and integrity.","Database design and development SQL and database querying Data modeling Programming languages (e.g., Java, Python) Data security and privacy regulations knowledge","Design and implement database systems, tables, and structures. Develop and optimize SQL queries and scripts. Ensure data security, integrity, and backup procedures.",The Coca-Cola Company,117174
3 to 15 Years,M.Com,$57K-$88K,"Tangier, Morocco",Contract,Database Administrator,Database Security Specialist,A Database Security Specialist focuses on protecting databases from unauthorized access and data breaches. They implement security measures and ensure compliance with regulations.,Database security measures Data encryption and access control Security compliance Vulnerability assessment Database auditing and monitoring,Implement and maintain security measures to protect databases from unauthorized access and cyber threats. Monitor and audit database activity. Ensure compliance with data protection regulations.,Johnson Controls International plc,106555
0 to 9 Years,M.Tech,$65K-$97K,"Marrakech, Morocco",Full-Time,Database Administrator,Database Security Specialist,A Database Security Specialist focuses on protecting databases from unauthorized access and data breaches. They implement security measures and ensure compliance with regulations.,Database security measures Data encryption and access control Security compliance Vulnerability assessment Database auditing and monitoring,Implement and maintain security measures to protect databases from unauthorized access and cyber threats. Monitor and audit database activity. Ensure compliance with data protection regulations.,"Dunkin'Brands Group, Inc.",149180
5 to 8 Years,BCA,$61K-$83K,"Rabat, Morocco",Full-Time,Email Marketing Specialist,Deliverability Analyst,"Monitor and improve email deliverability rates, troubleshoot delivery issues, and maintain a clean email list.","Email deliverability best practices Spam filter testing List hygiene Blacklist monitoring Email authentication (e.g., SPF, DKIM) Deliverability metrics analysis Troubleshooting deliverability issues Communication skills Data analysis Attention to detail","Focus on email deliverability, monitoring email sender reputation and list quality. Troubleshoot email delivery issues and maintain sender compliance. Implement best practices for inbox placement.",CNOOC (China National Offshore Oil Corporation),161286
2 to 11 Years,MCA,$64K-$86K,"Casablanca, Morocco",Contract,Supply Chain Manager,Demand Planner,A Demand Planner analyzes historical sales data to forecast future demand for products. They work to optimize inventory levels and ensure product availability while minimizing costs.,Demand forecasting Inventory management Data analysis Sales and operations planning (S&OP) ERP software proficiency,Analyze demand patterns and market trends to forecast product demand. Collaborate with production and sales teams to optimize inventory levels. Implement demand planning and forecasting tools.,L3Harris Technologies,245866
3 to 13 Years,MBA,$61K-$130K,"Rabat, Morocco",Intern,Supply Chain Manager,Demand Planner,A Demand Planner analyzes historical sales data to forecast future demand for products. They work to optimize inventory levels and ensure product availability while minimizing costs.,Demand forecasting Inventory management Data analysis Sales and operations planning (S&OP) ERP software proficiency,Analyze demand patterns and market trends to forecast product demand. Collaborate with production and sales teams to optimize inventory levels. Implement demand planning and forecasting tools.,Hindustan Zinc,162148
4 to 9 Years,M.Tech,$56K-$102K,"Casablanca, Morocco",Temporary,Supply Chain Manager,Demand Planner,A Demand Planner analyzes historical sales data to forecast future demand for products. They work to optimize inventory levels and ensure product availability while minimizing costs.,Demand forecasting Inventory management Data analysis Sales and operations planning (S&OP) ERP software proficiency,Analyze demand patterns and market trends to forecast product demand. Collaborate with production and sales teams to optimize inventory levels. Implement demand planning and forecasting tools.,Progressive,250499
5 to 11 Years,M.Tech,$55K-$100K,"Tangier, Morocco",Temporary,Supply Chain Manager,Demand Planner,A Demand Planner analyzes historical sales data to forecast future demand for products. They work to optimize inventory levels and ensure product availability while minimizing costs.,Demand forecasting Inventory management Data analysis Sales and operations planning (S&OP) ERP software proficiency,Analyze demand patterns and market trends to forecast product demand. Collaborate with production and sales teams to optimize inventory levels. Implement demand planning and forecasting tools.,Everbright Securities,122700
